"2026-03-31 01:00:13",noir,isole,normal,"Aucune maladie spécifique détectée","Les symptômes observés ne correspondent pas à une maladie typique.","Surveillez attentivement les poulets. Vérifiez l’alimentation, l’eau et l’hygiène. En cas de doute, consultez un vétérinaire."
"2026-06-08 12:20:27",blanc,isole,respiration_bruyante,"Alerte sanitaire - Intervention necessaire","Excréments blancs - possible infection bactérienne (Pullorose, Salmonellose). Isolement du groupe - souvent un signe précoce de maladie. Respiration bruyante (râles, sifflements) - atteinte respiratoire avancée.","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Surveillez attentivement. Isolez le poulet malade pour éviter la propagation. URGENCE : isolement, antibiothérapie, amélioration de la ventilation."
"2026-06-08 12:20:38",blanc,isole,respiration_bruyante,"Alerte sanitaire - Intervention necessaire","Excréments blancs - possible infection bactérienne (Pullorose, Salmonellose). Isolement du groupe - souvent un signe précoce de maladie. Respiration bruyante (râles, sifflements) - atteinte respiratoire avancée.","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Surveillez attentivement. Isolez le poulet malade pour éviter la propagation. URGENCE : isolement, antibiothérapie, amélioration de la ventilation."
"2026-06-08 12:20:50",blanc,isole,respiration_bruyante," Alerte sanitaire - Intervention nécessaire","Excréments blancs → possible infection bactérienne (Pullorose, Salmonellose). Isolement du groupe → souvent un signe précoce de maladie. Respiration bruyante (râles, sifflements) → atteinte respiratoire avancée.","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Surveillez attentivement. Isolez le poulet malade pour éviter la propagation. URGENCE : isolement, antibiothérapie, amélioration de la ventilation."
"2026-06-08 12:24:01",blanc,isole,respiration_bruyante,"Alerte sanitaire - Intervention nécessaire","Excréments blancs - possible infection bactérienne (Pullorose, Salmonellose). Isolement du groupe - souvent un signe précoce de maladie. Respiration bruyante (râles, sifflements) - atteinte respiratoire avancée.","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Surveillez attentivement. Isolez le poulet malade pour éviter la propagation. URGENCE : isolement, antibiothérapie, amélioration de la ventilation."
"2026-06-08 12:24:14",blanc,isole,respiration_bruyante," Alerte sanitaire - Intervention nécessaire","Excréments blancs → possible infection bactérienne (Pullorose, Salmonellose). Isolement du groupe → souvent un signe précoce de maladie. Respiration bruyante (râles, sifflements) → atteinte respiratoire avancée.","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Surveillez attentivement. Isolez le poulet malade pour éviter la propagation. URGENCE : isolement, antibiothérapie, amélioration de la ventilation."
"2026-06-08 12:32:47",blanc,isole,respiration_bruyante," Alerte sanitaire - Intervention nécessaire","Excréments blancs → possible infection bactérienne (Pullorose, Salmonellose). Isolement du groupe → souvent un signe précoce de maladie. Respiration bruyante (râles, sifflements) → atteinte respiratoire avancée.","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Surveillez attentivement. Isolez le poulet malade pour éviter la propagation. URGENCE : isolement, antibiothérapie, amélioration de la ventilation."
"2026-06-08 12:34:14",blanc,isole,respiration_bruyante," Alerte sanitaire - Intervention nécessaire","Excréments blancs → possible infection bactérienne (Pullorose, Salmonellose). Isolement du groupe → souvent un signe précoce de maladie. Respiration bruyante (râles, sifflements) → atteinte respiratoire avancée.","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Surveillez attentivement. Isolez le poulet malade pour éviter la propagation. URGENCE : isolement, antibiothérapie, amélioration de la ventilation."
"2026-06-08 12:35:02",blanc,isole,plumes_herissees,"🛑 Alerte sanitaire - Intervention nécessaire","Excréments blancs → possible infection bactérienne (Pullorose, Salmonellose). Isolement du groupe → souvent un signe précoce de maladie. Plumes hérissées → frilosité ou maladie (fièvre).","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Surveillez attentivement. Isolez le poulet malade pour éviter la propagation. Augmentez la température si nécessaire. Surveillez l'état général."
"2026-06-08 12:38:53",blanc,isole,plumes_herissees,"Alerte sanitaire - Intervention nécessaire","Excréments blancs → possible infection bactérienne (Pullorose, Salmonellose). Isolement du groupe → souvent un signe précoce de maladie. Plumes hérissées → frilosité ou maladie (fièvre).","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Surveillez attentivement. Isolez le poulet malade pour éviter la propagation. Augmentez la température si nécessaire. Surveillez l'état général."
"2026-06-08 12:41:30",blanc,isole,plumes_herissees,"Alerte sanitaire - Intervention nécessaire","Excréments blancs → possible infection bactérienne (Pullorose, Salmonellose). Isolement du groupe → souvent un signe précoce de maladie. Plumes hérissées → frilosité ou maladie (fièvre).","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Surveillez attentivement. Isolez le poulet malade pour éviter la propagation. Augmentez la température si nécessaire. Surveillez l'état général."
"2026-06-08 12:44:18",blanc,isole,plumes_herissees,"Alerte sanitaire - Intervention nécessaire","Excréments blancs - possible infection bactérienne (Pullorose, Salmonellose). Isolement du groupe - souvent un signe précoce de maladie. Plumes hérissées - frilosité ou maladie (fièvre).","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Surveillez attentivement. Isolez le poulet malade pour éviter la propagation. Augmentez la température si nécessaire. Surveillez l'état général."
"2026-06-14 17:30:35",blanc,apathique,respiration_bruyante,"Alerte sanitaire - Intervention nécessaire","Excréments blancs - possible infection bactérienne (Pullorose, Salmonellose). Apathie, abattement - signe de maladie générale (fièvre, infection). Respiration bruyante (râles, sifflements) - atteinte respiratoire avancée.","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Placez les sujets faibles à part. Vérifiez la température ambiante. Consultez si persistance. URGENCE : isolement, antibiothérapie, amélioration de la ventilation."
"2026-06-26 18:11:40",normal,normal,normal,"Etat de santé normal","Excréments normaux. Comportement normal, actif. Apparence normale.","Aucun problème détecté. Continuez les bonnes pratiques d'élevage : alimentation équilibrée, eau propre, litière sèche, vaccination à jour."
"2026-06-26 18:17:40",blanc,isole,yeux_larmoyants,"Alerte sanitaire - Intervention nécessaire","Excréments blancs - possible infection bactérienne (Pullorose, Salmonellose). Isolement du groupe - souvent un signe précoce de maladie. Yeux larmoyants ou gonflés - infection respiratoire (mycoplasmose, sinusite).","Isolez les sujets touchés. Consultez un vétérinaire pour antibiogramme. Désinfection stricte du poulailler. Surveillez attentivement. Isolez le poulet malade pour éviter la propagation. Traitez avec un antibiotique adapté (tylosine) dans l'eau. Aérez sans courant d'air."
